details,result
"比賽模式: CLASSIC
使用英雄: Singed (TOP)
終場表現: - 擊殺數: 1, 死亡數: 4, 助攻數: 8 - 獲得金錢: 10456 - 經驗值: 14665, 等级: 15 - 小兵擊殺數: 198, 野怪擊殺數: 0 關鍵事件:
- 在 388 秒時，(Singed (TOP)) 被 (Rumble (TOP)) 擊殺
- 在 418 秒時，(Singed (TOP)) 助攻 (Karthus (JUNGLE)) 擊殺了 (Lillia (JUNGLE))
",Win
"比賽模式: CLASSIC
使用英雄: Karthus (JUNGLE)
終場表現: - 擊殺數: 6, 死亡數: 5, 助攻數: 10 - 獲得金錢: 12951 - 經驗值: 16530, 等级: 17 - 小兵擊殺數: 25, 野怪擊殺數: 213 關鍵事件:
- 在 373 秒時，(Karthus (JUNGLE)) 被 (Rumble (TOP)) 擊殺
- 在 388 秒時，(Karthus (JUNGLE)) 助攻 (Rumble (TOP)) 擊殺了 (Singed (TOP))
- 在 418 秒時，(Karthus (JUNGLE)) 擊殺了 (Lillia (JUNGLE))
- 在 514 秒時，(Karthus (JUNGLE)) 擊殺了 小龍
- 在 518 秒時，(Karthus (JUNGLE)) 被 (Syndra (MIDDLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Corki (MIDDLE)
終場表現: - 擊殺數: 10, 死亡數: 3, 助攻數: 6 - 獲得金錢: 15429 - 經驗值: 17241, 等级: 17 - 小兵擊殺數: 246, 野怪擊殺數: 12 關鍵事件:
- 在 315 秒時，(Corki (MIDDLE)) 被 (Syndra (MIDDLE)) 擊殺
- 在 374 秒時，(Corki (MIDDLE)) 擊殺了 (Syndra (MIDDLE))
- 在 414 秒時，(Corki (MIDDLE)) 擊殺了 (Rumble (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Kalista (BOTTOM)
終場表現: - 擊殺數: 7, 死亡數: 5, 助攻數: 4 - 獲得金錢: 12565 - 經驗值: 12077, 等级: 14 - 小兵擊殺數: 190, 野怪擊殺數: 16 關鍵事件:
- 在 514 秒時，(Kalista (BOTTOM)) 被 (Sivir (BOTTOM)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Milio (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 3, 助攻數: 17 - 獲得金錢: 7670 - 經驗值: 11344, 等级: 13 - 小兵擊殺數: 31, 野怪擊殺數: 0 關鍵事件:
",Win
"比賽模式: CLASSIC
使用英雄: Rumble (TOP)
終場表現: - 擊殺數: 7, 死亡數: 3, 助攻數: 5 - 獲得金錢: 11680 - 經驗值: 14153, 等级: 15 - 小兵擊殺數: 203, 野怪擊殺數: 12 關鍵事件:
- 在 373 秒時，(Rumble (TOP)) 擊殺了 (Karthus (JUNGLE))
- 在 388 秒時，(Rumble (TOP)) 擊殺了 (Singed (TOP))
- 在 414 秒時，(Rumble (TOP)) 被 (Corki (MIDDLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Lillia (JUNGLE)
終場表現: - 擊殺數: 1, 死亡數: 8, 助攻數: 10 - 獲得金錢: 9950 - 經驗值: 12496, 等级: 14 - 小兵擊殺數: 43, 野怪擊殺數: 141 關鍵事件:
- 在 373 秒時，(Lillia (JUNGLE)) 助攻 (Rumble (TOP)) 擊殺了 (Karthus (JUNGLE))
- 在 388 秒時，(Lillia (JUNGLE)) 助攻 (Rumble (TOP)) 擊殺了 (Singed (TOP))
- 在 418 秒時，(Lillia (JUNGLE)) 被 (Karthus (JUNGLE)) 擊殺
- 在 514 秒時，(Lillia (JUNGLE)) 助攻 (Sivir (BOTTOM)) 擊殺了 (Kalista (BOTTOM))
- 在 518 秒時，(Lillia (JUNGLE)) 助攻 (Syndra (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Syndra (MIDDLE)
終場表現: - 擊殺數: 8, 死亡數: 5, 助攻數: 2 - 獲得金錢: 11178 - 經驗值: 13423, 等级: 15 - 小兵擊殺數: 199, 野怪擊殺數: 0 關鍵事件:
- 在 315 秒時，(Syndra (MIDDLE)) 擊殺了 (Corki (MIDDLE))
- 在 374 秒時，(Syndra (MIDDLE)) 被 (Corki (MIDDLE)) 擊殺
- 在 514 秒時，(Syndra (MIDDLE)) 助攻 (Sivir (BOTTOM)) 擊殺了 (Kalista (BOTTOM))
- 在 518 秒時，(Syndra (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Sivir (BOTTOM)
終場表現: - 擊殺數: 3, 死亡數: 4, 助攻數: 6 - 獲得金錢: 11948 - 經驗值: 11542, 等级: 14 - 小兵擊殺數: 226, 野怪擊殺數: 8 關鍵事件:
- 在 514 秒時，(Sivir (BOTTOM)) 擊殺了 (Kalista (BOTTOM))
- 在 518 秒時，(Sivir (BOTTOM)) 助攻 (Syndra (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Braum (UTILITY)
終場表現: - 擊殺數: 1, 死亡數: 4, 助攻數: 11 - 獲得金錢: 7071 - 經驗值: 9102, 等级: 12 - 小兵擊殺數: 28, 野怪擊殺數: 0 關鍵事件:
- 在 514 秒時，(Braum (UTILITY)) 助攻 (Sivir (BOTTOM)) 擊殺了 (Kalista (BOTTOM))
- 在 518 秒時，(Braum (UTILITY)) 助攻 (Syndra (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Singed (TOP)
終場表現: - 擊殺數: 3, 死亡數: 1, 助攻數: 12 - 獲得金錢: 10706 - 經驗值: 15062, 等级: 16 - 小兵擊殺數: 179, 野怪擊殺數: 0 關鍵事件:
- 在 438 秒時，(Singed (TOP)) 被 (Olaf (TOP)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: MasterYi (JUNGLE)
終場表現: - 擊殺數: 12, 死亡數: 2, 助攻數: 7 - 獲得金錢: 14634 - 經驗值: 16012, 等级: 16 - 小兵擊殺數: 25, 野怪擊殺數: 195 關鍵事件:
- 在 399 秒時，(MasterYi (JUNGLE)) 助攻 (Thresh (UTILITY)) 擊殺了 (AurelionSol (MIDDLE))
- 在 423 秒時，(MasterYi (JUNGLE)) 助攻 (Kaisa (BOTTOM)) 擊殺了 (Viego (JUNGLE))
- 在 436 秒時，(MasterYi (JUNGLE)) 擊殺了 (Zeri (BOTTOM))
- 在 441 秒時，(MasterYi (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 494 秒時，(MasterYi (JUNGLE)) 擊殺了 小龍
",Win
"比賽模式: CLASSIC
使用英雄: Malphite (MIDDLE)
終場表現: - 擊殺數: 0, 死亡數: 7, 助攻數: 9 - 獲得金錢: 9145 - 經驗值: 12223, 等级: 14 - 小兵擊殺數: 179, 野怪擊殺數: 4 關鍵事件:
- 在 388 秒時，(Malphite (MIDDLE)) 被 (Zeri (BOTTOM)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Kaisa (BOTTOM)
終場表現: - 擊殺數: 9, 死亡數: 3, 助攻數: 7 - 獲得金錢: 12449 - 經驗值: 11472, 等级: 14 - 小兵擊殺數: 208, 野怪擊殺數: 8 關鍵事件:
- 在 399 秒時，(Kaisa (BOTTOM)) 助攻 (Thresh (UTILITY)) 擊殺了 (AurelionSol (MIDDLE))
- 在 423 秒時，(Kaisa (BOTTOM)) 擊殺了 (Viego (JUNGLE))
- 在 441 秒時，(Kaisa (BOTTOM)) 助攻 (MasterYi (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
",Win
"比賽模式: CLASSIC
使用英雄: Thresh (UTILITY)
終場表現: - 擊殺數: 2, 死亡數: 3, 助攻數: 15 - 獲得金錢: 7760 - 經驗值: 11254, 等级: 13 - 小兵擊殺數: 35, 野怪擊殺數: 0 關鍵事件:
- 在 399 秒時，(Thresh (UTILITY)) 擊殺了 (AurelionSol (MIDDLE))
",Win
"比賽模式: CLASSIC
使用英雄: Olaf (TOP)
終場表現: - 擊殺數: 3, 死亡數: 6, 助攻數: 1 - 獲得金錢: 9626 - 經驗值: 12405, 等级: 14 - 小兵擊殺數: 190, 野怪擊殺數: 0 關鍵事件:
- 在 438 秒時，(Olaf (TOP)) 擊殺了 (Singed (TOP))
",Lose
"比賽模式: CLASSIC
使用英雄: Viego (JUNGLE)
終場表現: - 擊殺數: 3, 死亡數: 6, 助攻數: 2 - 獲得金錢: 8562 - 經驗值: 9828, 等级: 12 - 小兵擊殺數: 12, 野怪擊殺數: 139 關鍵事件:
- 在 388 秒時，(Viego (JUNGLE)) 助攻 (Zeri (BOTTOM)) 擊殺了 (Malphite (MIDDLE))
- 在 423 秒時，(Viego (JUNGLE)) 被 (Kaisa (BOTTOM)) 擊殺
",Lose
